Provenance,Tool,Software,Vendor,Group,Integration,Band,Comp_or_Neural,X,Y,Recurrence,Inputs,Inference_Locus,Model_Backend,Date_Note,Source_URL,Status,Notes
survey 260812,Unity Editor,Unity,Unity Technologies,Real-time & node-based,core,Explicit,computational,9,2.5,iterative,"scene hierarchy, GameObjects, components, serialized properties, assets","Scenes resolve from GameObjects, components, and asset references the designer places and configures; play mode executes the assembled specification.",,Manual current for Unity 6.2 (2026).,https://docs.unity3d.com/6000.2/Documentation/Manual/unity-editor.html,verified,
survey 260812,Unreal Blueprint / Level Editing,Unreal Engine,Epic Games,Real-time & node-based,core,Explicit,computational,9,3,iterative,"Blueprint graphs, level composition, property values","Gameplay and scene behavior follow from node-based Blueprint graphs, level composition, and property values; execution stays traceable through the graph.",,Documentation current for UE 5.x (2026).,https://dev.epicgames.com/documentation/en-us/unreal-engine/blueprints-visual-scripting-in-unreal-engine,verified,
survey 260812,vvvv gamma Patching,vvvv gamma,vvvv group,Real-time & node-based,core,Explicit,computational,8.8,4,persistent,"VL patch, node parameters, optional C#/F#","Output follows from the VL patch — nodes compiled live in the background, state hot-reloaded — with the running program addressable while it runs.",,Stable 7.4 per vvvv.org (Aug 2026).,https://vvvv.org/,verified,"Community ML packs exist around vvvv; nothing sourced this pass, so no inference row recorded for it."
survey 260812,Max nn~ (RAVE),"Max (Max/MSP), also PureData",IRCAM ACIDS,Real-time & node-based,plugin,Conditioned,hybrid,3.8,9,persistent,live audio or latent control input; chosen pretrained model (.ts),"The nn~ external runs a pretrained TorchScript model (RAVE, vschaos2, or custom) at audio rate inside the patch: incoming audio or latent control signals decode to audio through the model's learned representation, continuously.","libtorch / TorchScript; RAVE, vschaos2, user-scripted PyTorch models",v1.6.0 recent per GitHub; adds nn.info model inspection and model download via IRCAM Forum API.,https://github.com/acids-ircam/nn_tilde,verified,"Timbre and texture resolve from the model's latent space; the input governs temporal structure. Continuous audio-rate inference places y at the top of the range, held provisionally. mc.nn~ / mcs.nn~ multichannel variants for Max 8+."
survey 260812,Notch AI Model (ONNX) + AI Trackers,Notch,Notch (10bit FX),Real-time & node-based,core,Conditioned,hybrid,6.2,8,persistent,video input; chosen ONNX model; node parameters,"The AI Model node runs third-party or custom-trained ONNX image models on video inside the node graph — background removal, segmentation, depth and motion estimation, upscaling — and YOLO, AI Face Tracker, and AI Hand Tracker nodes ship as built integrations. Inference recurs per frame on the incoming image.","ONNX models in Notch; documented examples: Depth Anything (depth), BiRefNet (segmentation), YOLO","Shipped in Notch 2026.2, live as of Aug 2026 per notch.one campaign page; an AI Upscale node is documented back in the 0.9.23 manual.",https://manual.notch.one/2026.2/en/docs/workflows/working-with-ai-models/ai-models-overview/,verified,"2026.2 also added Manual MCP — the user manual exposed to LLM clients; documentation access rather than a resolution mode, so recorded here as a note. Campaign framing stresses opt-in use."
survey 260812,NVIDIA Audio2Face-3D,Omniverse / ACE; plugins for Unreal Engine 5 and Maya,NVIDIA,Real-time & node-based,plugin,Conditioned,neural,5,6.5,persistent,voice audio track; character rig mapping,"The model resolves facial animation — lip sync and expression — from a voice track's acoustic features (phonemes, intonation), streamed in real time or processed per clip; output maps to character facial poses.","Audio2Face-3D models (open-sourced, with SDK and training framework)","Open-sourced Sept 24, 2025: models, SDKs, training framework, UE5 and Maya plugins.",https://github.com/NVIDIA/Audio2Face-3D,verified,"Audio governs timing and phoneme structure; expression detail resolves from learned structure. Training framework release means teams can retrain on their own rigs and languages. Coverage: AWN, Sept 2025."
survey 260812,NVIDIA DLSS 4 Render Pass,"Real-time engines (Unreal, Unity, Omniverse RTX, game runtimes)",NVIDIA,Real-time & node-based,plugin,Conditioned,neural,7.2,9.5,persistent,"rendered frames, motion vectors, temporal feedback","Transformer models resolve output frames from lower-resolution rendered frames, motion vectors, and temporal feedback; Multi Frame Generation can generate up to five frames per rendered frame. Inference recurs per output frame during rendering.",DLSS 4 transformer models; DLSS 4.5 second-generation transformer per NVIDIA's DLSS page,DLSS 4 Multi Frame Generation tied to RTX 50-series GPUs (2025); DLSS 4.5 listed on the NVIDIA DLSS page (2026).,https://www.nvidia.com/en-us/geforce/technologies/dlss/,verified,"Includes Super Resolution, Ray Reconstruction, DLAA, Frame Generation. Recorded once as a cross-engine inference row; per-engine integration is plugin (Unreal/Unity) or built into the RTX renderer (Omniverse)."
survey 260812,TouchDesigner Daydream Hosted StreamDiffusion,TouchDesigner,"dotsimulate / Daydream (Livepeer, Inc.)",Real-time & node-based,hosted service,Conditioned,hybrid,4.2,8.5,persistent,"live video input, prompt, ControlNet settings; API key for hosted inference","Same StreamDiffusionTD control surface; diffusion inference runs on Daydream's hosted GPUs through the Daydream API, returning frames to the TouchDesigner network. Can serve macOS and non-NVIDIA setups.",StreamDiffusion on Daydream hosted GPUs; SDXL supported,Daydream API live Aug 2025; Scope app and SDXL support announced Nov 2025; an Apr 2026 Daydream post describes hosted mode as the path most macOS TouchDesigner creators use.,https://blog.daydream.live/what-is-hosted-streamdiffusion-and-why-touchdesigner-creators-should-care/,verified,"Daydream is Livepeer's real-time AI video effort; product page at daydream.live/streamdiffusiontd; Scope/SDXL announcement via Business Wire (Morningstar, Nov 2025). Same resolution mode as the local row; hosting is the distinction."
survey 260812,TouchDesigner MediaPipe Plugin,TouchDesigner,Torin Blankensmith (community),Real-time & node-based,plugin,Conditioned,neural,6.8,8,persistent,live video input; model selection,"The plugin runs Google MediaPipe vision models on live video inside TouchDesigner — face, hand, and pose landmarks, object detection, segmentation, classification — per frame, on device, through an embedded browser runtime.",Google MediaPipe vision models (WebAssembly runtime),Distributed as a self-contained .tox for Mac and PC; releases ongoing per GitHub (2025-2026).,https://github.com/torinmb/mediapipe-touchdesigner,verified,"GPU-accelerated, offline-capable; tracking data lands in the network as DAT and TOP outputs for downstream procedural use."
survey 260812,TouchDesigner NVIDIA Maxine Operators,TouchDesigner,Derivative / NVIDIA,Real-time & node-based,core,Conditioned,neural,6.8,8,persistent,live video input; operator parameters,"Built-in operators run NVIDIA Maxine models on a live video stream: face and body landmark tracking, background matting, denoise. Inference recurs per frame on the incoming image.",NVIDIA Maxine AR / Broadcast SDK models,Documented in current TouchDesigner docs (2026); AR SDK downloaded separately from NVIDIA.,https://docs.derivative.ca/Face_Track_CHOP,verified,"Family includes Face Track CHOP, Body Track CHOP, Face Track SOP, Nvidia Background TOP, Nvidia Denoise TOP. Windows and RTX-series GPU required per docs."
survey 260812,TouchDesigner StreamDiffusionTD (local),TouchDesigner,dotsimulate,Real-time & node-based,plugin,Conditioned,hybrid,4.2,8.5,persistent,"live video/TOP/NDI input, text prompt, seed and CFG, ControlNets, model choice","StreamDiffusion resolves frames from a live input plus prompt, with optional simultaneous ControlNets; low-step diffusion recurs at interactive frame rates inside the network. Can run SD1.5, SD-Turbo, and SDXL locally with TensorRT acceleration.",StreamDiffusion pipeline; SD1.5 / SD-Turbo / SDXL; TensorRT,v0.3.1 current per dotsimulate docs (2026); StreamV2V added for temporal consistency.,https://dotsimulate.com/docs/streamdiffusiontd,verified,"x moves with denoise strength and ControlNet weight — source-governed at low denoise, prompt-governed at high; 4.2 is a midpoint candidate. Local install: Windows, NVIDIA GPU 6GB+ VRAM, CUDA 12.8."
survey 260812,Unity Inference Engine (Sentis),Unity,Unity Technologies,Real-time & node-based,addon,Conditioned,hybrid,6.5,7.5,persistent,designer-supplied ONNX model; runtime input data,"The package runs designer-supplied models locally in the editor or in builds, without a network connection; inference recurs wherever the runtime invokes the model, per frame where wired into gameplay.",Unity Inference Engine (formerly Sentis); ONNX models,"Sentis (open beta Nov 2023) renamed Inference Engine at Unity 6.2, Aug 2025; coverage reports the display name back to Sentis at package 2.4.",https://www.cgchannel.com/2025/08/unity-rolls-out-unity-ai-in-unity-6-2/,verified,"Framework row, parallel to Unreal NNE: the mode is embedding model inference into engine execution. Naming in flux across 2025-2026 — record both names."
survey 260812,Unreal MetaHuman Animator,Unreal Engine (MetaHuman),Epic Games,Real-time & node-based,plugin,Conditioned,hybrid,6.3,4,persistent,"captured facial performance (mono/stereo video, depth, or audio); target MetaHuman rig","Facial animation resolves from a captured performance — mono or stereo video, depth data, or audio — solved onto MetaHuman rig controls; processing can run offline per take or in real time from a webcam, mobile capture, or audio stream.",proprietary (Epic MetaHuman solvers),Released June 2023; real-time mono video/webcam and audio-driven paths documented for UE 5.6 (2025).,https://dev.epicgames.com/documentation/en-us/metahuman/metahuman-animator,verified,The performance governs the result tightly; the solver's learned mapping fills rig-space detail. Real-time capture mode raises recurrence toward the frame-rate band — y candidate reflects the per-take path.
survey 260812,Unreal ML Deformer,Unreal Engine,Epic Games,Real-time & node-based,plugin,Conditioned,hybrid,7,8,persistent,designer-generated simulation training data (Maya); skeletal animation at runtime,"A model trained on designer-generated simulation data (muscle, flesh, cloth) approximates the deformation at runtime, conditioned on skeletal pose each frame. Training and inference stay on the GPU via the engine's Deformer Graph.",Neural Morph and Nearest Neighbor models via engine neural inference + Deformer Graph,In UE since 5.0-era; docs current at 5.8 (2026).,https://dev.epicgames.com/documentation/unreal-engine/ml-deformer-framework-in-unreal-engine,verified,"The training set is designer-supplied simulation, so the learned structure is itself specified upstream — a case where conditioning includes the training data, distinct from vendor-pretrained rows."
survey 260812,Unreal Neural Network Engine (NNE),Unreal Engine,Epic Games,Real-time & node-based,core,Conditioned,hybrid,6.5,7.5,persistent,pretrained ONNX model; input tensors from engine data,"NNE provides a common engine API that can load and run pretrained ONNX models on CPU or GPU, at runtime or in the editor; the designer supplies the model and the calling context, and inference recurs wherever invoked.","ONNX via runtime plugins (NVIDIA TensorRT for RTX, Intel OpenVINO, others)",Overview documented for UE 5.7/5.8 (2025-2026); an earlier Neural Network Inference plugin dates to UE 5.0 per Intel's guide.,https://dev.epicgames.com/documentation/en-us/unreal-engine/neural-network-engine-overview-in-unreal-engine,verified,"Framework row: the mode is embedding arbitrary model inference into engine execution; targeted uses per docs include animation, mesh deformation, denoising, physics augmentation."
survey 260812,Unity AI Assistant,Unity,Unity Technologies,Real-time & node-based,agent,Inferential,neural,1.8,6,iterative,natural-language direction; open project context,"The Assistant resolves editor actions from natural-language direction: it can inspect the open project, answer technical queries, run routine tasks, and write code, iterating across a session with project context.",OpenAI GPT and Meta Llama,"Unity AI shipped with Unity 6.2, Aug 2025.",https://www.cgchannel.com/2025/08/unity-rolls-out-unity-ai-in-unity-6-2/,verified,"Placement near the LLM Spatial Agent anchor (1.5/6.0), held provisionally."
survey 260812,Unity AI Generators,Unity,Unity Technologies,Real-time & node-based,core,Inferential,neural,2.2,2.5,single-pass,text prompt; reference and style options,"Generators resolve sprites, textures, materials, animations, and sounds from text prompts through Unity and partner models, invoked per generation inside the editor.",Scenario and Layer LoRAs (Stable Diffusion / Flux-based) for sprites; Unity text-to-texture and text-to-animation models; Kinetix video-to-animation,"Unity AI shipped with Unity 6.2, Aug 2025, replacing Muse; priced in Unity Points.",https://www.cgchannel.com/2025/08/unity-rolls-out-unity-ai-in-unity-6-2/,verified,"Kinetix video-to-animation path is source-conditioned; the row sits at the prompt-driven mode. Coverage (Digital Production, Aug 2025) places copyright responsibility with the user."
survey 260812,DaVinci Resolve Edit/Color Core,DaVinci Resolve (Blackmagic Design),,Video,core,Explicit,computational,9,2.5,persistent,clips on the timeline; node graph of corrections; keyframed parameters,"The timeline and node graph carry the specification; output re-renders deterministically from clip edits, node connections, and keyframed parameters. The color page evaluates the node graph on each change.",,"Resolve 21 current per Blackmagic product page, August 2026; Resolve 21 also adds AI Speech Generator, CineFocus, Face Age Transformer, UltraSharpen, Motion Deblur per the what's-new page.",https://www.blackmagicdesign.com/products/davinciresolve,verified,"Node-based grading; placement near the Houdini SOP anchor, held provisionally."
survey 260812,Final Cut Pro Magnetic Timeline,Final Cut Pro (Apple),,Video,core,Explicit,computational,8.7,1.5,persistent,clips; storyline arrangement; connected clips; effect parameters,"Resolution is computational: the magnetic timeline repositions connected clips deterministically as the designer edits, and effects render from set parameters.",,"Core model since FCP X (2011); FCP 11 current line, released November 13, 2024.",https://www.apple.com/newsroom/2024/11/final-cut-pro-11-begins-a-new-chapter-for-video-editing-on-mac/,verified,
survey 260812,CapCut Auto Captions,CapCut (ByteDance),,Video,core,Conditioned,neural,6,2,single-pass,spoken audio in the clip; language and style choices,Speech recognition resolves caption text from the clip's audio; styling applies from templates the designer picks. Text-to-speech and voice enhancement run in the same feature family.,proprietary (ByteDance),"Listed on the CapCut tools pages, August 2026.",https://www.capcut.com/tools/ai-video-generator,verified,"CapCut also carries conditioned image/video tools on the same pages: background removal, people removal, inpainting, image enhancement."
survey 260812,DaVinci Resolve AI IntelliScript,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,hybrid,5.5,2,single-pass,the production script; spoken audio in the media clips,"Speech transcription is matched against a supplied script and a timeline resolves from the matches, with alternate takes placed on lower tracks. Invoked once per script; the designer edits the assembled timeline afterward.",DaVinci Neural Engine,Shipped with Resolve 20 (announced April 2025).,https://larryjordan.com/articles/ai-powered-features-in-davinci-resolve-20/,verified,"Resolve 20 also added AI Multicam SmartSwitch: angle switching resolved from active-speaker analysis, same source."
survey 260812,DaVinci Resolve AI Set Extender,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,neural,3,2,single-pass,a highlighted frame region; a text prompt; the surrounding frame,"A generative model resolves image content for a highlighted region from a text prompt conditioned on the surrounding frame, filling areas left by reframing or limited coverage. Invoked per region.",DaVinci Neural Engine (generative),"Shipped with Resolve 20; announced April 2025, described in the sourced article July 2025.",https://larryjordan.com/articles/ai-powered-features-in-davinci-resolve-20/,verified,Placement mirrors the Photoshop Generative Fill anchor: prompt plus mask plus surrounding image.
survey 260812,DaVinci Resolve Depth Map,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,neural,6.5,5,single-pass,footage; the resulting matte feeds grades or effects the designer places,"A depth-estimation network resolves a per-pixel depth matte from each frame, conditioned on the footage. The matte can drive grades, blurs, or atmosphere the designer applies on top.",DaVinci Neural Engine,"Listed as 3D Depth Map on the Studio page, August 2026.",https://www.blackmagicdesign.com/products/davinciresolve/studio,verified,
survey 260812,DaVinci Resolve Magic Mask,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,neural,6,5,iterative,paint strokes or points on a subject; the footage itself,"A segmentation network resolves a subject matte from rough strokes or points and tracks it across frames, conditioned on the footage. Invoked per subject on the Color page; the designer can refine with further strokes.",DaVinci Neural Engine,"Magic Mask 2 shipped with Resolve 20 (2025) with point selection and paint refinement; listed again in Resolve 21 what's-new, August 2026.",https://www.blackmagicdesign.com/products/davinciresolve/studio,verified,y reflects frame-to-frame track propagation; the mask at one frame conditions the next.
survey 260812,DaVinci Resolve Relight FX,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,neural,5.5,4.5,single-pass,footage; a virtual light the designer places and aims,"Surface geometry inferred from the frame lets a placed virtual light resolve as shading on the scene, conditioned on the footage. Invoked as a Resolve FX on the Color page.",DaVinci Neural Engine,"Recalled as shipping in the Resolve 18.x cycle; the Blackmagic pages fetched in August 2026 confirm 3D Depth Map and other Neural Engine FX, with Relight absent from them.",https://www.blackmagicdesign.com/products/davinciresolve/studio,unverified,Feature named in the task brief; kept with unverified status pending a source that names it.
survey 260812,DaVinci Resolve Super Scale,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,neural,6.8,5,single-pass,source clip; scale factor; sharpness and noise settings,An upscaling network resolves added pixel detail from the source frames; inferred detail sits inside what the footage governs. Applied per clip as a render-time process for 4K/8K delivery from lower-resolution sources.,DaVinci Neural Engine,Long-standing Studio feature; 3x and 4x enhanced upscaling shipped with Resolve 20 (2025).,https://www.blackmagicdesign.com/products/davinciresolve/studio,verified,"y raised above still-image upscaling for per-frame inference across the clip, held provisionally."
survey 260812,DaVinci Resolve Voice Isolation,DaVinci Resolve Studio (Blackmagic Design),,Video,core,Conditioned,neural,6.5,3,single-pass,a voice recording; a strength setting,"A source-separation model resolves dialogue apart from background noise and room reverb, conditioned on the recording; a strength control sets how far the separation is applied. Lives in the Fairlight inspector in the Studio edition.",DaVinci Neural Engine,Current in Resolve Studio as of August 2026; Resolve 20 added AI Audio Assistant and AI Dialogue Matcher alongside it.,https://vagon.io/blog/davinci-resolve-neural-engine-guide,verified,
survey 260812,Descript Regenerate / Voice Cloning,Descript,,Video,core,Conditioned,neural,4,2.5,single-pass,typed correction text; a consented voice profile trained from the speaker's recordings,"A voice model resolves replacement speech from typed text, conditioned on a trained clone of the speaker's voice; lip movement adjusts to match. Invoked per correction inside the transcript.",proprietary voice model (Lyrebird lineage),"Overdub lineage from the 2019 Lyrebird acquisition; current as Regenerate / AI Speech with stock and custom voices, August 2026.",https://www.descript.com/tools/voice-cloning,verified,
survey 260812,Descript Transcript Editing,Descript,,Video,core,Conditioned,hybrid,7.5,3,persistent,recorded audio/video; text edits on the transcript,Speech recognition resolves a transcript from the recording; word deletions and rearrangements on the text map deterministically onto media cuts. The transcript persists as the working surface across the session.,proprietary ASR,"Core product mode, current on descript.com August 2026.",https://www.descript.com/video-editing,verified,Edits are addressable in text; the inferential step is the transcription the edits rest on.
survey 260812,Final Cut Pro Magnetic Mask,Final Cut Pro (Apple),,Video,core,Conditioned,neural,6,5,iterative,a selection on a person or object; the footage,"A segmentation model resolves a subject matte from a selection and tracks it across the clip, conditioned on the footage; the matte then carries the corrections or effects the designer applies. Runs on Apple silicon ML.",Apple Neural Engine models,"Shipped in FCP 11, November 13, 2024.",https://www.apple.com/newsroom/2024/11/final-cut-pro-11-begins-a-new-chapter-for-video-editing-on-mac/,verified,
survey 260812,Final Cut Pro Transcribe to Captions,Final Cut Pro (Apple),,Video,core,Conditioned,neural,6,2,single-pass,spoken audio in the timeline,An Apple-trained language model resolves caption text from spoken audio and places captions in the timeline. Invoked per timeline; the designer edits caption text and timing afterward.,Apple-trained large language model,"Shipped in FCP 11, November 13, 2024.",https://www.apple.com/newsroom/2024/11/final-cut-pro-11-begins-a-new-chapter-for-video-editing-on-mac/,verified,
survey 260812,Flow Insert/Remove Scene Editing,Google Flow (Google DeepMind Veo),,Video,hosted service,Conditioned,neural,3.5,7.5,iterative,an existing generated or uploaded clip; the element to insert or remove,"The system resolves an edited clip from the source: inserted elements pick up scene lighting and shadows, and removed elements resolve to a regenerated background consistent with the surrounding frames.",Veo 3.1,"Insert shipped with the Veo 3.1 Flow update, October 2025; remove described in the same update cycle per coverage into 2026.",https://blog.google/innovation-and-ai/products/veo-updates-flow/,verified,
survey 260812,Luma Modify Video,Luma Dream Machine (Luma AI),,Video,hosted service,Conditioned,neural,4.5,7.5,iterative,existing footage up to 20 seconds; a change instruction,"A video-to-video mode resolves reshaped footage — swapped surroundings, surfaces, or wardrobe — conditioned on the source performance and lighting, at up to 1080p native output.",Ray3.2,"Listed on lumalabs.ai/ray, August 2026.",https://lumalabs.ai/ray,verified,
survey 260812,Runway Act-Two Performance Transfer,Runway,,Video,hosted service,Conditioned,neural,5,7,single-pass,a driving performance video; a character image or video,"A performance-transfer model resolves character animation from a driving video, conditioned on a character reference; expression and motion carry from performer to character.",Act-Two,"Act-One shipped October 25, 2024 per changelog; Act-Two listed on the Runway research index as of August 2026, introduced mid-2025 per recollection.",https://runway.com/research,verified,
survey 260812,Runway Aleph Video-to-Video,Runway,,Video,hosted service,Conditioned,neural,4.5,7.5,iterative,existing footage; a text instruction describing the change,"A video-to-video model resolves an edited version of supplied footage from a text instruction — adding elements, changing lighting or weather, removing objects — conditioned on the source's structure, depth, and motion. Aleph 2.0 extends this with frame-level edits propagated across the clip.",Gen-4 Aleph; Aleph 2.0,"Aleph on paid plans July 31, 2025; Aleph 2.0 and Edit Studio May 21, 2026 per the Runway changelog.",https://runway.com/changelog,verified,
survey 260812,Topaz Starlight,Topaz Video AI (Topaz Labs),,Video,hosted service,Conditioned,neural,5,6,single-pass,degraded source footage; model tier choice,"Diffusion models resolve restored frames from degraded source footage, with more of the result drawn from learned structure than in the parametric models. Starlight Precise runs locally; Mini, Sharp, HQ, and Fast tiers run hosted.",Starlight diffusion models,"Starlight tiers listed on the product page, August 2026; Starlight previewed as Project Starlight in early 2025 per recollection, date held provisionally.",https://www.topazlabs.com/topaz-video-ai,verified,
survey 260812,Topaz Video AI Enhancement,Topaz Video AI (Topaz Labs),,Video,core,Conditioned,neural,6.5,5.5,single-pass,"source footage; model choice; parameter settings for scale, denoise, interpolation, stabilization","Temporally aware enhancement models resolve added detail, interpolated frames, or stabilized motion from the source frames; inferred content stays inside what the footage governs. Runs locally as a render pass per clip, up to 8K and 120fps targets.","Proteus, Iris, Rhea, Artemis, Gaia, Chronos and related local models","Product page current August 2026; a Precision Update covers enhancement up to 4K across genAI, live action, and animation sources.",https://www.topazlabs.com/topaz-video-ai,verified,
survey 260812,CapCut AI Video Generator (Seedance),CapCut (ByteDance),,Video,hosted service,Inferential,neural,2,7.5,iterative,a script or prompt; avatar and style choices; optionally uploaded footage for avatar cloning,"A video model resolves finished clips from a script and chosen avatar, generating presenter footage, voiceover, and layout in hosted model passes; exported clips can be edited on the CapCut timeline afterward.",Seedance 2.5 (ByteDance),"Seedance 2.5 described as available globally on the CapCut tools page, August 2026.",https://www.capcut.com/tools/ai-video-generator,verified,"Avatar identity and script condition the result; x above the pure prompt-to-video anchors for that reason, held provisionally."
survey 260812,Descript Underlord,Descript,,Video,agent,Inferential,hybrid,1.8,6.5,persistent,plain-language direction; the project's media and transcript,"An agent plans and executes multi-step edits on the project — script drafting, cut tightening, filler-word removal, captioning, clip finding — each step resolved through a language model conditioned on the transcript and the designer's direction.",multi-model LLM backend,"Introduced 2024; positioned as the product's co-editor on descript.com, August 2026.",https://www.descript.com/video-editing,verified,Placement near the LLM Spatial Agent anchor: agentic recurrence over a persistent project.
survey 260812,Google Veo 3.1 in Flow,Google Flow (Google DeepMind Veo),,Video,hosted service,Inferential,neural,1,8,persistent,text prompt; ingredient images and keyframes; scene context carried across shots,"A video model resolves clips with native synchronized audio — dialogue, ambience, music — from prompt and ingredient direction; Flow carries scene context across shots so continuations condition on prior generations.",Veo 3.1,"Veo 3.1 in Flow October 2025; Flow merged with Whisk and ImageFX into one workspace February 25, 2026 per coverage.",https://blog.google/innovation-and-ai/products/veo-updates-flow/,verified,Matches the author's Sora/Veo anchor.
survey 260812,Hailuo Generation,Hailuo (MiniMax),,Video,hosted service,Inferential,neural,1.2,7.5,iterative,text prompt; image; motion and style direction,"A video model resolves 1080p clips from prompt direction, with physics-oriented motion, stylized modes (anime, ink wash, game CG), and a Fast tier trading cost against render time. Hailuo 3.0 extends to joint generation across text, image, video, and audio.",Hailuo 2.3; Hailuo 3.0 announced,"Hailuo 2.3 per MiniMax news (late 2025); Hailuo 3.0 announced July 31, 2026 as an open-weight omni-modal successor per coverage.",https://www.minimax.io/news/minimax-hailuo-23,verified,
survey 260812,Kling 3.0 Generation,Kling AI (Kuaishou),,Video,hosted service,Inferential,neural,1.2,8,iterative,text prompt; image; audio; multi-shot storyboard direction,"A multimodal model resolves clips up to 15 seconds at up to native 4K/60fps from prompt direction, with audio generated in the same pass; Omni variants take text, image, audio, and video as inputs and outputs. Multi-shot storyboarding conditions shot-to-shot continuity.",Kling Video 3.0 / 3.0 Omni,"Kling 3.0 launched February 4, 2026 per the press release.",https://www.prnewswire.com/news-releases/kling-ai-launches-3-0-model-ushering-in-an-era-where-everyone-can-be-a-director-302679944.html,verified,
survey 260812,Luma Ray3.2 Generation,Luma Dream Machine (Luma AI),,Video,hosted service,Inferential,neural,1.5,7.5,iterative,text prompt; image; up to 16 keyframes per clip,"A video model resolves clips from text or image direction, with up to 16 keyframes conditioning motion through the clip; a reasoning pass can draft and revise before final render. Output includes native 16-bit HDR with EXR export.",Ray3 / Ray3.14 / Ray3.2,"Ray3 announced September 2025; Ray3.14 January 2026 per coverage; Ray3.2 current on lumalabs.ai/ray, August 2026; the Luma site now fronts Luma Agents as the product frame.",https://lumalabs.ai/ray,verified,
survey 260812,OpenAI Sora 2,Sora (OpenAI),,Video,hosted service,Inferential,neural,1,8,iterative,text prompt; cameo likeness capture; remix of another generation,"A video model resolved clips with synchronized audio from prompt direction, with likeness cameos conditioning who appears; generation ran as hosted passes in the app and API. Written in past tense: the product is winding down.",Sora 2,"Launched September 30, 2025; app and web discontinued April 26, 2026; API scheduled to close September 24, 2026.",https://openai.com/index/sora-2/,verified,"Discontinuation dates per help.openai.com article 20001152 (surfaced in search, August 2026; the page itself blocked direct fetch). Matches the author's Sora/Veo anchor."
survey 260812,Pika Generation,Pika,,Video,hosted service,Inferential,neural,1.5,7.5,iterative,text prompt or image; keyframe pairs for Pikaframes; a selfie and audio for trend formats,"A video model resolves short clips from a prompt or image; keyframe inputs can condition start and end states, and effect presets (Pikaffects) can condition the transformation. A Pika Agent mode can run generation through conversational direction.",Pika 2.5,"Pika 2.5 current on pika.art, August 2026; Pika Agent and Pika MCP listed as experimental; Pika 2.2 with Pikaframes shipped February 2025 per coverage.",https://pika.art,verified,Matches the author's Runway/Pika anchor; the agent mode may warrant a separate row if the author wants it split.
survey 260812,Runway Gen-4 / Gen-4.5 Generation,Runway,,Video,hosted service,Inferential,neural,1.5,7.5,iterative,"text prompt; optional reference images for characters, objects, locations","A video model resolves clips from a prompt, with reference images conditioning character and location consistency across generations. Each generation is a hosted model pass; the designer iterates by re-prompting.",Gen-4; Gen-4.5,"Gen-4 introduced 2025; Gen-4.5 released December 11, 2025 per the Runway changelog; changelog also lists 2026 additions (Studio editing interface June 2026, Agent Skills July 2026).",https://runway.com/research/introducing-runway-gen-4,verified,Matches the author's Runway/Pika anchor.
survey 260812,ComfyUI Node Graph,ComfyUI,Comfy Org,Image generation,core,Explicit,hybrid,7.2,3.5,persistent,"Node graph: model loaders, conditioning routing, sampler nodes, seeds, schedulers, post-pass chains; saved as a JSON workflow file that re-executes identically","Sampler nodes resolve image content through the loaded diffusion model; pipeline structure — model choice, conditioning routing, sampler parameters, post-passes — is addressable graph the designer wires, saves as JSON, and re-executes. Inference runs where a sampler node executes.","user-loaded checkpoints (SD1.5, SDXL, SD3.5, FLUX, others)",Released Jan 2023; development active through 2026; desktop app per 2026 coverage,https://en.wikipedia.org/wiki/ComfyUI,verified,"Graph authoring is the mode; content inside each sampler stays model-resolved, which holds x below Houdini SOP (8.8). Candidate placement."
survey 260812,ComfyUI ControlNet-Conditioned,ComfyUI,Comfy Org,Image generation,addon,Conditioned,hybrid,6.8,3,iterative,"Preprocessed control map (depth, pose, scribble, canny) via ControlNetApply node, ControlNet model choice, strength; plus prompt","A ControlNet injects the supplied structure map into the denoising steps, so composition follows the map while the model resolves surface and detail. The designer preprocesses a source image into the control signal before generation; multiple ControlNets can mix.",ControlNet / T2I-Adapter models over user-loaded checkpoints,ControlNet models date to 2023; documented in current ComfyUI examples,https://comfyanonymous.github.io/ComfyUI_examples/controlnet/,verified,"Matches the ControlNet Depth seed anchor (6.8/3.0). Page confirms scribble, depth, pose variants and multi-ControlNet mixing."
survey 260812,ComfyUI img2img,ComfyUI,Comfy Org,Image generation,core,Conditioned,neural,5.5,3,iterative,"Source image, denoise strength (0.0-1.0), prompt",The model partially re-noises the source image to the set denoise strength and resolves detail back from that state; lower denoise leaves more of the result governed by the source. Invoked per pass; passes can chain (two-pass upscale patterns).,user-loaded checkpoints,Core mode since 2023 release,https://baeseokjae.github.io/posts/comfyui-workflow-ai-image-generation-guide-2026/,verified,Anchored to Img2Img low-denoise (5.5/3.0); the denoise slider moves x across a wide range in practice. Candidate placement.
